call_number,category,date_acquired,title,id,author,correction_date,correction_source
BV4207 .E8 1975,The Caucasus & The Western Steppe,,Les plus anciens homéliaires géorgiens: étude descriptive et historique,,,,
DF215 .I7 1972,European and Classical Antiquity,,История Древней Греции: [учебник для студентов ист,,,,
DS797.44.L84 Y36 2012,"China, South Asia, & East Asia",,偃师华润电厂考古报告,,,,
ND2848 .Z45 2016,"China, South Asia, & East Asia",,魏晋南北朝壁画墓研究,,,,
DK909.B47 K89 2014 Non-circulating,Central Asia & Siberia,2015-12-17T00:00:00.000000,Berel zhylqylary. Morfologii͡alyk zeptteu =,,,,
Z6604 .K55 1955,Egypt & North Africa,,Die Papyrussammlung der Österreichischen Nationalbibliothek: mit einem Katalog der ständigen Ausstellung,,,,
GN778.28 .P783 2004,The Caucasus & The Western Steppe,,Псалии: элементы упряжи и конского снаряжения в древности : сборник статей,,,,
NC65.E35 F6 1988,Egypt & North Africa,,Die altägyptische Zeichnung,,,,
CC78.6 .Q5823 2015,"China, South Asia, & East Asia",,14C测年与中国考古年代学研究,,,,
NK6406 .A58 1986,The Caucasus & The Western Steppe,,Античная торевтика: сборник научных трудов,,,,
DK38.7.P56 B67 2008,The Caucasus & The Western Steppe,,Борис Борисович Пиотровский: материалы к биографии,,,,
N5603.I4 H47 2003,European and Classical Antiquity,,A guide to the classical collections of Cornell University,,,,
NB1007.S67 S47 1975,"China, South Asia, & East Asia",,"Hoysaḷa sculptures in the National Museum, Copenhagen",,,,
CC75 .K51 2013,The Caucasus & The Western Steppe,,"Этногенез и археология, t",,,,
BM487 .A1 1955. From the Library of David I. Owen,Ancient Western Asia,,Qumran cave I,,,,
CJ546 .S27 1979,European and Classical Antiquity,,L'hellénisme primitif de la Macédoine prouvé par la numismatique et l'or du Pangée,,,,
DS903 .K99 2000,"China, South Asia, & East Asia",,실크로드와한국문화동방의빛을따라서=A search for the light of the East--Silk road and Korean culture,,,,
DS484.4 .R54 1890,"China, South Asia, & East Asia",,Native life in South India: being sketches of the social and religious characteristics of the Hindus,,,,
DR39.6 .A76 2013,European and Classical Antiquity,,Armées grecques et romaines dans le nord des Balkans,,,,
CJ517 .H64 1978,European and Classical Antiquity,,Art and coinage in Magna Graecia,,,,
NB1042 .E84 1981,"China, South Asia, & East Asia",,"Eskenazi: ancient Chinese sculpture, 11 December-24 December 1981",,,,
BL2441.2 .A75 1986,Egypt & North Africa,,Gods and myths of ancient Egypt,,,,
NK1510 .L48 1963,"China, South Asia, & East Asia",,圖案基础,,,,
DS797.52.C434 G36 2012,"China, South Asia, & East Asia",,湖南楚墓与楚文化,,,,
KJA3340 .R43 2016,European and Classical Antiquity,,Recht haben und Recht bekommen im Imperium Romanum: das Gerichtswesen der Rö̈mischen Kaiserzeit und seine dokumentarische Evidenz: ausgewählte beiträge einer Serie von drei Konferenzen an der Villa Vigoni in den Jahren 2010 bis 2012,,,,
NB1026 .A7713,"China, South Asia, & East Asia",,Art of the archaic Indonesians,,,,
GN865.E3 P39 1993 Non-circulating,Egypt & North Africa,2008-02-06T00:00:00.000000,Catalogue of the Predynastic Egyptian Collection in the Ashmolean Museum /,,,,
PJ2181 .F67 2002,Egypt & North Africa,,Wörterbuch der griechischen Wörter in den koptischen dokumentarischen Texten,,,,
DS69.5 .N28 2018,Ancient Western Asia,,Gli Assiri: storia di una civiltà,,,,
N7382 .K35 1987,Egypt & North Africa,,Coptic Egypt: history and guide,,,,
DK508.3 .K57 1996,The Caucasus & The Western Steppe,,Koczownicy Ukrainy: katalog wystawy,,,,
DK757 .M37 2013,Central Asia & Siberia,,Священные горы Каракольской долины: (левобережная часть) : монография,,,,
DS793.T8 D86 1990,"China, South Asia, & East Asia",,1990敦煌學國際研討會論文集,,,,
DS110.F37 T455 1996,Ancient Western Asia,,"Tell el Farʻah: histoire, glyptique et céramologie",,,,
PJ4139 .R45 1910,Egypt & North Africa,,Israelite ostraca from Samaria,,,,
PA3996.F8 B68 2000,European and Classical Antiquity,,"Galien, t",,,,
CJ548.5.K53 B37 2014,The Caucasus & The Western Steppe,,Бeзлюдoвский клад X в,,,,
NK5750.2.C6 K85 1996,"China, South Asia, & East Asia",,故宮藏玉 =Jade artifact collection in the Palace Museum,,,,
CJ969 .W56 1960,European and Classical Antiquity,,A description of late Roman imperial coins (350-478 A,,,,
HG1283 .W365 1980,"China, South Asia, & East Asia",,Early Chinese coinage,,,,
PJ3721.D78 C36 1996,Egypt & North Africa,,Die mittelassyrischen Briefe aus Tall Šēḫ Ḥamad,,,,
DS70.5.A7 G754 2017,Ancient Western Asia,,"Der Assur-Tempel in Assur: das assyrische Hauptheiligtum im Wandel der Zeit, t",,,,
N7292.6 .A83 1971,The Caucasus & The Western Steppe,,L'Art arménien de l'Ourartou à nos jours,,,,
DT60 .A3495 2002,Cross-Cultural Studies & Other,,Aegyptus et Pannonia II: acta symposii anno 2002,,,,
DK651.A596 A44 1991,The Caucasus & The Western Steppe,,Греческая колонизация Северо-Западного Кавказа,,,,
PA3318.C65 L5 1942,Egypt & North Africa,,Literarische Texte und ptolemäische Urkunden,,,,
NB1912.G38 E43 2009,"China, South Asia, & East Asia",,Emaciated Siddhartha,,,,
NK4565 .H36 2015,"China, South Asia, & East Asia",,安思远旧藏古陶瓷选萃= Selections of Chinese ceramics from the Robert H,,,,
P957 .S38 1974 T.1-T.2/3,Ancient Western Asia,,Die ḫattisch-hethitischen Bilinguen,,,,
BL465 .D59 2014,European and Classical Antiquity,,"Divinizzazione, culto del sovrano e apoteosi: tra antichità e Medioevo",,,,
DS324.K5 V4 2006 Non-circulating,Central Asia & Siberia,2015-01-07T00:00:00.000000,Tārīkh-i Kirmān /,,,,
BR65.C886 F48 1983,Ancient Western Asia,,Miracle et histoire dans l'œuvre de Cyrille de Scythopolis,,,,
DK509 .A66 1991 Non-circulating,The Caucasus & The Western Steppe,2008-07-26T00:00:00.000000,Antichnyĭ mir i varvary Evrazii :,,,,
HD2065 .D67 2016,Ancient Western Asia,,Assyrische Nutzlandschaft in Obermesopotamien natürliche und anthropogene Wirkfaktoren und ihre Auswirkungen,,,,
CC77.U5 B38 1970 Non-circulating,Cross-Cultural Studies & Other,2011-09-26T00:00:00.000000,Archaeology under water /,,,,
DS285 .I68 2012,Ancient Western Asia,,Parthika: Greek and Roman authors' views of the Arsacid Empire = griechisch-römische Bilder des Arsakidenreiches,,,,
DS274.2.B99 C66 2002,Ancient Western Asia,,"Convegno internazionale la Persia e Bisanzio: Roma, 14-18 ottobre 2002",,,,
DS54.3 .K26 1968,Ancient Western Asia,,Chypre,,,,
NK3855.C9 O536 2011,Ancient Western Asia,,"On cooking pots, drinking cups, loomweights and ethnicity in bronze age Cyprus and neighbouring regions: an international archaeological symposium held in Nicosia, November 6th-7th, 2010",,,,
DT73.A53 A54 v.3 2016,Egypt & North Africa,,Ostraka from TrimithisII,,,,
DS70.5.K37 L36 2017,Ancient Western Asia,,Les archives de la princesse Iltani découvertes à Tell al-Rimah (XIIIe siècle avant J,,,,
PJ1511 .J37 2016,Egypt & North Africa,,The Demotic and Hieratic Papyri in the Suzuki Collection of Tokai University,,,,
DK699.5.G85 G85 2016,The Caucasus & The Western Steppe,,Gülüstan türbäsi,,,,
DS62 .P37 2009,Cross-Cultural Studies & Other,,Papers on values and interrelations between Europe and the Near East in antiquity,,,,
GN855.R9 P69 2006,Central Asia & Siberia,,Палеоантропология населения юга Западной Сибири эпохи средневековья: вторая половина И--первая половина II тыс,,,,
DS36.82.G7 R66 2018,Ancient Western Asia,,Romance and reason: Islamic transformations of the classical past,,,,
DS70.5.B37 R43 2015,Ancient Western Asia,,Recherches en Haute-Mésopotamie II: mission archéologique de Bash Tapa (campagnes 2012-2013) et les enjeux de la recherche dans la région d'Erbil,,,,
ND3245.A7 W4 1933,The Caucasus & The Western Steppe,,Die armenische buchmalerei des 10,,,,
CJ75 .G74 1975,European and Classical Antiquity,,Numismatics,,,,
N3320.2 .R85 1982,Cross-Cultural Studies & Other,,Государственный музей искусства народов Востока: краткий обзор коллекций,,,,
DS261 .A73 1987,Ancient Western Asia,,The Archaeology of western Iran: settlement and society from prehistory to the Islamic conquest,,,,
DK508.9.K78 P758 1994,The Caucasus & The Western Steppe,,Проблемы истории и археологии Крыма: сборник научных трудов,,,,
DK34.S4 G67 1981,The Caucasus & The Western Steppe,,Скифы: путеводитель по выставке Отдела истории первобытной культуры,,,,
DS110.H285 H37 2010,Ancient Western Asia,,Lahav II: households and the use of domestic space at Iron II Tell Halif : an archaeology of destruction,,,,
DK511.K6 M37 1978,The Caucasus & The Western Steppe,,Дoльмены Зaпaдного Kaвкaзa,,,,
QB11 .P56 1986,European and Classical Antiquity,,"The astronomical works of Gregory Chioniades, v",,,,
P950 .M37 2003,Ancient Western Asia,,A short grammar of hieroglyphic Luwian,,,,
DK689.39.S44 S44 2015,The Caucasus & The Western Steppe,,Шeнгaвит: катaлoг aрхeoлoгичeских maтeриaлoв из кoллекции Mузея истории Aрмении,,,,
DA687.G9 B379 2008,European and Classical Antiquity,,"London's Roman amphitheatre: Guildhall Yard, City of London",,,,
CD5348 .A478 2009,Ancient Western Asia,,"Late Babylonian seal impressions on tablets in the British Museum, pt",,,,
DS329.4 .A37 1993 Non-circulating,Central Asia & Siberia,2013-02-01T00:00:00.000000,Central Asia in world history /,,,,
NB1912.B83 M35 1996,"China, South Asia, & East Asia",,麥積山石窟,,,,
PJ1555 .A3 1995 Bd.13,Egypt & North Africa,,Handschriften des Altägyptischen Totenbuches; Bd,,,,
NA310 .W32 1988,European and Classical Antiquity,,Roman architecture,,,,
GN778.28 .P76 2002,The Caucasus & The Western Steppe,,Проблемы археологии Eвразии: к 80-летию Н,,,,
DK511.S233 M56 2009,Central Asia & Siberia,,Курганы эпохи бронзы--раннего железного века в Саратовском Поволжье: характеристика и культурно-хронологическая атрибуция комплексов,,,,
PJ4054.D8 K45 1971,Ancient Western Asia,,Neo-Sumerian account texts from Drehem,,,,
DS793.S4 S53 2003,"China, South Asia, & East Asia",,"山东重大考古新发现, 1990-2003",,,,
DS797.44.Z444 Z433 2015,"China, South Asia, & East Asia",,郑州汉墓 =Han tombs in Zhengzhou,,,,
NK5988.A1 R38 2017,Egypt & North Africa,,Ivory and bone sculpture in ancient Alexandria,,,,
BL1620 .L36 2016,Ancient Western Asia,,Ancient Mesopotamian religion and mythology selected essays,,,,
NK5750.2.C6 L497 2017,"China, South Asia, & East Asia",,"Dreams of the Kings: a Jade Suit for Eternity, Treasures of the Han Dynasty from Xuzhou=楚王梦:玉衣与永生,徐州博物馆汉代珍藏",,,,
DG254 .I56 1989,European and Classical Antiquity,,"In memoriam, Sir Ronald Syme",,,,
PA50 .T73 1973,Egypt & North Africa,,Traitement automatique de papyrus grecs,,,,
TN101 .B44 2000,"China, South Asia, & East Asia",,The beginnings of metallurgy in China,,,,
GN824.D63 M3 1960,The Caucasus & The Western Steppe,,Материалы и исследования по археологии Юго-Запада СССР и Румынской Народной Республики: [археологический сборник,,,,
PJ1171 .O8 1976,Egypt & North Africa,,"Die Nominalbildung des Ägyptischen, Bd",,,,
DS154.9.M6 B46 2017,Ancient Western Asia,,Il paese di Moab nell'età del ferro,,,,
BQ6345.X54 G66 2006,"China, South Asia, & East Asia",,隋唐长安城佛寺研究,,,,
DK511.C2 D78 2011 Non-circulating,The Caucasus & The Western Steppe,2013-07-24T00:00:00.000000,Srednevekovye kochevniki v vostochnom Priazov'e /,,,,
DS70.7 .E43 2021,Ancient Western Asia,2025-12-15,L'Empire assyrien : histoire d'une grande civilisation de l'Antiquité /,,,,
PL2447 .L564 2016,"China, South Asia, & East Asia",,秦汉简帛字词札记,,,,
PJ1251 .F573 1953,Egypt & North Africa,,Grundzüge der Stilistik in den Altägyptischen Pyramidentexten,,,,
GN823 .F665 1969,The Caucasus & The Western Steppe,,Очерки по первобытному искусству,,,,
DK34.S4 M44 1975,The Caucasus & The Western Steppe,,Поселение и могильник скифского времени у села Николаевка,,,,
DS286 .S275 2017,Ancient Western Asia,,Sasanian Persia: Between Rome and the Steppes of Eurasia,,,,
DK34.S4 E43 1977,The Caucasus & The Western Steppe,,Скифия евразийских степей: Ист,,,,
DK508.95.L58 L58 1998,The Caucasus & The Western Steppe,,Люботинское городище: сборник научных трудов,,,,
GN778.22.O43 O57 1970,The Caucasus & The Western Steppe,,Окский бассейн в эпоху камня и бронзы,,,,
BX173.2 .V63 1963,Ancient Western Asia,,Syriac and Arabic documents regarding legislation relative to Syrian asceticism,,,,
DK771.K5 I98 2015,Central Asia & Siberia,,Из пламени веков: феномен Окуневской культуры Древней Хакасии,,,,
CC79.5.P6 H57 2016,European and Classical Antiquity,,"Histoires matérielles: terre cuite, bois, métal et autres objets: des pots et des potes: mélanges offerts à Lucien Rivet",,,,
DK508.9.B57 N64 1984,The Caucasus & The Western Steppe,,Нoвые археологические исследования нa Oдeсчине: сборник научных трудов,,,,
NC915.R8 L8 1986,"China, South Asia, & East Asia",,中國傳統拓印技術=Traditional Chinese rubbing techniques,,,,
DS51.I9 G73 2016,European and Classical Antiquity,,Graffiti from the Basilica in the Agora of Smyrna,,,,
DK509 .N55 1942 Non-circulating,The Caucasus & The Western Steppe,2010-06-22T00:00:00.000000,Kaukasien :,,,,
PJ4125 .H64 1995,Ancient Western Asia,,"Dictionary of the North-west Semitic inscriptions, pt",,,,
DK508.95.N43 V97 1979,The Caucasus & The Western Steppe,,Неаполь: столица государства поздних скифов,,,,
NK1069.S513 C57 1998,"China, South Asia, & East Asia",,中国・山東省の至宝:特别展,,,,
GN778.32.P19 H36 1986,Ancient Western Asia,,The late Chalcolithic to early Bronze I transition in Palestine and Transjordan,,,,
DK511.K6 M38 Non-circulating,The Caucasus & The Western Steppe,2012-01-11T00:00:00.000000,Materialy i issledovanii͡a po arkheologii Kubani /,,,,
DS156.G45 B37 1967,Ancient Western Asia,,Cape Gelidonya: a bronze age shipwreck,,,,
DS70 .P48 1898,Ancient Western Asia,,"Nippur or explorations and adventures on the Euphrates: the narrative of the University of Pennsylvania expedition to Babylonia in the years 1888-1890, v",,,,
DS793.A6 X56 2015,"China, South Asia, & East Asia",,"新萃:大发展新发现: ""十一五""以来安徽建设工程考古成果展",,,,
BQ2742 .E5 1927,"China, South Asia, & East Asia",,Buddhist Mahâyâna texts,,,,
KL147 .H57 2017,Ancient Western Asia,,"A history of ancient Near Eastern law, v",,,,
BL2270 .W514 1968,Ancient Western Asia,,Les religions de l'Iran,,,,
DK34.S4 C48 1981,Central Asia & Siberia,,Скифские лучники,,,,
BQ634 .H84 1992,"China, South Asia, & East Asia",,高僧傳,,,,
DS69.5 .M46 v.50 2015,Ancient Western Asia,,"Mesopotamia, v",,,,
NB1912.B83 T536 2013,"China, South Asia, & East Asia",,天水麦积山= [The MaijiShan grottoes],,,,
